INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201802,430361,WASHING MACH NO DRYER MAX 1800,2,1,102.816,101.411,101.411,1.52,1.05,1.14
201802,212940,PROTEIN POWDER 900G-2KG,1,1,90.971,89.963,90.971,0.1,0.22,0.1
201802,211305,SPREADABLE BUTTER,1,1,99.816,100.367,99.816,0.42,0.59,0.42
201802,211031,COOKED HAM LOOSE PER 100G,1,1,99.619,99.646,99.619,0.6,0.3,0.48
201802,320108,CIGARETTES 8,1,1,100.397,100.415,100.397,3.08,3.04,2.52
201802,212715,GRAPEFRUIT-EACH,1,1,99.346,99.353,99.285,0.18,0.21,0.16
201802,520319,LA SUPPORTED RES IN RET HOMES,1,0,100.171,100.171,100.171,0.54,0,0.42
201802,320205,5 CIGARS: SPECIFY BRAND,1,1,100.292,100.269,100.292,0.22,0.24,0.18
201802,520136,PHOTO FRAME,2,1,104.202,102.39,102.39,0.75,0.88,0.6
201802,212806,PACKET OF PEANUTS 150-300G,1,1,99.733,99.527,99.36,0.99,1.26,0.88
201802,310420,WHITE WINE- NEW WORLD 75CL,1,1,97.496,97.507,97.496,1.89,2.1,1.47
201802,610231,CAR SERVICE- LOCAL GARAGE,2,1,100.026,100.026,100.026,1.92,0.96,1.52
201802,630374,CHILDS SCOOTER AGE 5-12 YEARS,2,1,100.773,100.301,100.301,0.63,0.2,0.51
201802,212933,ICE CREAM 500ML-1L,1,1,95.106,94.752,95.106,1.04,0.55,0.88
201802,640234,CINEMA ADMISSION,2,0,100,100,100,2.8,1.28,2.24
201802,211709,SHOP MILK-WHOLE MILK-4PT/2LTR,1,1,100.191,100.165,100.191,0.72,0.54,0.54
201802,430409,SCISSORS - HOUSEHOLD,2,1,102.107,101.712,101.712,0.65,0.56,0.52
201802,310109,LAGER - PINT 3.4-4.2%,1,1,100.278,100.31,100.278,5.16,5.4,4.14
201802,640217,ATTRACTIONS,1,0,100,100,100,0.32,0.32,0.28
201802,520242,COLD/FLU DRINK POWDER,1,1,100.235,100.257,100.235,0.9,0.45,0.75
201802,610237,CAR BULB 12 VOLT SPECIFY WATTS,2,1,100.226,100.195,100.195,1.05,0.8,0.84
201802,210413,HOME KILLED BEEF-TOPSIDE KG,1,1,96.749,96.361,96.749,0.4,0.54,0.32
201802,430519,WASHING POWDER - AUTOMATIC,1,1,97.023,97.033,97.023,0.45,0.44,0.36
201802,630425,BOOK-NON-FICTION-HARD-COVER,2,2,118.707,114.468,114.468,0.92,0.36,0.69
201802,310110,PREMIUM LAGER - PINT 4.3-7.5%,1,1,100.233,100.241,100.233,3.44,3.6,2.76
201802,630438,EBOOKS,1,2,110.886,122.726,122.726,0.32,0.36,0.24
201802,430227,LAMINATE FLOORING PER SQ M,2,2,101.584,101.08,101.08,0.76,0.45,0.76
201802,520209,TOOTHPASTE (SPECIFY SIZE),1,1,97.5,98.463,97.5,1.38,0.75,1.14
